"","Year","State","what","unit","how","Category","chemi_type","ferti_info","chemi_info","Value"
"1",2019,"CALIFORNIA"," ACRES HARVESTED","","","TOTAL","","","",35400
"2",2019,"CALIFORNIA"," ACRES PLANTED","","","TOTAL","","","",36000
"3",2019,"CALIFORNIA"," PRODUCTION","$","","TOTAL","","","",2221320000
"4",2019,"CALIFORNIA"," PRODUCTION","CWT","","TOTAL","","","",20500000
"5",2019,"CALIFORNIA"," YIELD","CWT / ACRE","","TOTAL","","","",580
"6",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(AZOXYSTROBIN = 128810)",5500
"7",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)",0
"8",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",0
"9",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BACILLUS PUMILUS = 6485)",0
"10",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BACILLUS SUBT. GB03 = 129068)",0
"11",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BACILLUS SUBTILIS = 6479)",0
"12",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BLAD = 30006)",1200
"13",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BORAX DECAHYDRATE = 11102)",300
"14",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BOSCALID = 128008)",6200
"15",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(BT SUBSP KURSTAKI EVB-113-19 = 6544)",0
"16",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(CAPTAN = 81301)",283500
"17",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(COPPER HYDROXIDE = 23401)",0
